epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,39.1428,1.03603,2.85431,1.16285,0.02018,0.96296,0.31858,0.2136,1.25228,3.16541,1.46403,0.000163701,0.000163701,0.000163701
8,44.4381,0.97892,2.56482,1.09931,0.02038,1,0.36964,0.24403,1.18812,3.06427,1.32473,0.000184641,0.000184641,0.000184641
9,49.5993,1.03902,2.19162,1.14986,0.0199,1,0.36527,0.22213,1.21349,3.02334,1.30888,0.00020445,0.00020445,0.00020445
10,54.7398,1.00959,2.0775,1.10617,0.01959,1,0.38429,0.23556,1.16516,2.9609,1.23489,0.000223127,0.000223127,0.000223127
11,59.8432,0.88632,1.73967,1.06613,0.01956,1,0.3972,0.24439,1.17293,2.91772,1.22334,0.000240672,0.000240672,0.000240672
12,65.0961,0.83749,1.5454,1.05619,0.01998,1,0.41777,0.26517,1.18713,2.86061,1.19908,0.000257086,0.000257086,0.000257086
13,70.3274,0.92973,1.54617,1.08501,0.01965,1,0.44135,0.284,1.20088,2.80073,1.19827,0.000272367,0.000272367,0.000272367
14,75.6152,0.92451,1.66913,1.07473,0.02383,1,0.45434,0.29579,1.22031,2.72493,1.17257,0.000286517,0.000286517,0.000286517
15,80.9397,0.83904,1.32728,1.05068,0.36988,0.57778,0.48152,0.31329,1.19742,2.65692,1.16363,0.000299536,0.000299536,0.000299536
16,86.3126,0.86061,1.1901,1.06656,0.57377,0.2963,0.53228,0.33757,1.19904,2.55941,1.15516,0.000311422,0.000311422,0.000311422
17,91.5972,0.82387,1.27393,1.05733,0.64173,0.25926,0.57008,0.36117,1.16968,2.47464,1.13835,0.000322177,0.000322177,0.000322177
18,96.8681,0.91961,1.36136,1.09142,0.64788,0.25926,0.57698,0.36842,1.16636,2.38921,1.12957,0.0003318,0.0003318,0.0003318
19,102.138,0.9279,1.20913,1.09399,0.62817,0.28465,0.6029,0.38788,1.20064,2.35626,1.12435,0.000340291,0.000340291,0.000340291
20,107.458,1.03997,1.17049,1.1529,0.62806,0.28373,0.60057,0.37558,1.28865,2.37266,1.15151,0.00034765,0.00034765,0.00034765
21,112.755,0.9378,1.18598,1.09092,0.63032,0.3032,0.61288,0.36429,1.38453,2.38019,1.19456,0.000353878,0.000353878,0.000353878
22,118.058,0.85197,1.05957,1.07864,0.6331,0.33099,0.62171,0.33298,1.50223,2.3432,1.25131,0.000358973,0.000358973,0.000358973
23,123.245,0.86361,1.10102,1.09071,0.62224,0.33333,0.63375,0.3539,1.47906,2.24857,1.23193,0.000362937,0.000362937,0.000362937
24,128.424,0.84851,0.99695,1.10231,0.60869,0.42411,0.65997,0.38689,1.38371,2.14838,1.17832,0.00036577,0.00036577,0.00036577
25,133.751,0.77807,0.96066,1.00908,0.58808,0.45705,0.68477,0.42857,1.27119,2.02942,1.11937,0.00036747,0.00036747,0.00036747
26,139.154,0.82517,0.91416,1.06342,0.55472,0.49005,0.70728,0.4639,1.22079,1.90761,1.0864,0.000368039,0.000368039,0.000368039
27,144.423,0.77738,0.99491,1.04669,0.61909,0.59858,0.75167,0.50318,1.20246,1.78913,1.08043,0.000367476,0.000367476,0.000367476
28,149.775,0.72367,0.85752,1.00875,0.61909,0.59858,0.75167,0.50318,1.20246,1.78913,1.08043,0.000365781,0.000365781,0.000365781
29,155.037,0.76902,0.87121,1.01396,0.63957,0.70706,0.7575,0.5233,1.15654,1.65147,1.07961,0.000362955,0.000362955,0.000362955
30,160.278,0.8538,0.85644,1.0799,0.63464,0.71271,0.74944,0.518,1.1544,1.56903,1.08061,0.000358996,0.000358996,0.000358996
31,165.419,0.74674,0.88112,1.01906,0.63464,0.71271,0.74944,0.518,1.1544,1.56903,1.08061,0.000353906,0.000353906,0.000353906
32,170.699,0.84686,0.8514,1.05243,0.50752,0.64923,0.69744,0.49394,1.12539,1.51651,1.06018,0.000347684,0.000347684,0.000347684
33,176.013,0.8286,0.85091,1.05432,0.45551,0.64444,0.64914,0.46563,1.10199,1.48418,1.03604,0.000340331,0.000340331,0.000340331
34,181.216,0.76004,0.80855,1.01061,0.45551,0.64444,0.64914,0.46563,1.10199,1.48418,1.03604,0.000331845,0.000331845,0.000331845
35,186.547,0.81813,0.83188,1.03457,0.36798,0.75556,0.5756,0.42682,1.11901,1.49583,1.0399,0.000322228,0.000322228,0.000322228
36,191.851,0.76322,0.83157,1.02032,0.34552,0.75556,0.56419,0.41536,1.12725,1.48964,1.04903,0.000311479,0.000311479,0.000311479
37,197.071,0.74051,0.81766,1.01535,0.34552,0.75556,0.56419,0.41536,1.12725,1.48964,1.04903,0.000299598,0.000299598,0.000299598
38,202.358,0.69656,0.79454,0.98838,0.35628,0.80027,0.63701,0.47828,1.0863,1.47294,1.05177,0.000286586,0.000286586,0.000286586
39,207.888,0.74774,0.78776,0.99072,0.39477,0.81084,0.61893,0.47266,1.04454,1.47193,1.04378,0.000272442,0.000272442,0.000272442
40,213.132,0.73798,0.76817,1.03108,0.39477,0.81084,0.61893,0.47266,1.04454,1.47193,1.04378,0.000257166,0.000257166,0.000257166
41,218.468,0.68708,0.71653,0.9695,0.38963,0.71111,0.65545,0.49401,1.00633,1.39341,1.02531,0.000240758,0.000240758,0.000240758
42,223.78,0.74741,0.81776,0.9839,0.50753,0.75936,0.70822,0.532,0.97245,1.3622,1.02054,0.000223218,0.000223218,0.000223218
43,228.962,0.70142,0.72913,0.98681,0.50753,0.75936,0.70822,0.532,0.97245,1.3622,1.02054,0.000204547,0.000204547,0.000204547
44,234.194,0.66293,0.73671,0.9428,0.48606,0.80112,0.72776,0.52169,1.00587,1.32556,1.0388,0.000184744,0.000184744,0.000184744
45,239.301,0.67265,0.69991,0.95892,0.48606,0.80112,0.72776,0.52169,1.00587,1.32556,1.0388,0.000163809,0.000163809,0.000163809
46,244.455,0.67805,0.67667,0.93845,0.47998,0.71111,0.73556,0.53375,1.03326,1.31238,1.05037,0.000141743,0.000141743,0.000141743
47,249.642,0.67202,0.75737,0.9619,0.47998,0.71111,0.73556,0.53375,1.03326,1.31238,1.05037,0.000118544,0.000118544,0.000118544
48,254.89,0.68563,0.73915,0.96194,0.46595,0.79279,0.75533,0.54851,1.04155,1.30362,1.04778,9.4214e-05,9.4214e-05,9.4214e-05
49,260.011,0.62986,0.66265,0.91525,0.46595,0.79279,0.75533,0.54851,1.04155,1.30362,1.04778,6.8752e-05,6.8752e-05,6.8752e-05
50,265.242,0.71831,0.72622,0.98744,0.57545,0.76604,0.76326,0.54989,1.03904,1.27989,1.04798,4.21584e-05,4.21584e-05,4.21584e-05
